Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
188,-1.1064959,3.2062168,2.4022703,1.9736896,1.1796818,5,MAP,Normal,Sequential RNN
189,-1.0591825,3.1491842,2.135288,1.5947835,1.4877548,5,MAP,Normal,Sequential RNN
190,3.4500628,3.918626,2.7737317,2.1633925,1.6799766,5,MAP,Normal,Sequential RNN
191,-0.4671417,2.7305994,1.9591819,1.547942,1.1319503,5,MAP,Normal,Sequential RNN
192,0.763336,2.7526035,1.8529568,1.3733584,1.3201091,5,MAP,Normal,Sequential RNN
193,-0.21412887,3.4087687,2.4908867,2.0015674,1.3468665,5,MAP,Normal,Sequential RNN
194,-0.64619946,2.8453,1.9730834,1.508108,1.279859,5,MAP,Normal,Sequential RNN
195,1.6726862,2.8651416,1.995267,1.5315402,1.2764226,5,MAP,Normal,Sequential RNN
196,-3.0069692,2.3085816,1.4782112,1.0355438,1.2184556,5,MAP,Normal,Sequential RNN
197,0.22587664,3.7409976,2.8157043,2.3224337,1.357742,5,MAP,Normal,Sequential RNN
198,0.35863736,3.3785758,2.3507166,1.8027687,1.5082434,5,MAP,Normal,Sequential RNN
199,-1.6398969,3.477035,2.5544796,2.0626688,1.3537244,5,MAP,Normal,Sequential RNN
200,-0.37552252,2.2404916,1.3752259,0.913956,1.2696596,5,MAP,Normal,Sequential RNN
201,-1.8938993,3.1025114,2.2104564,1.734905,1.3089695,5,MAP,Normal,Sequential RNN
202,0.38762534,2.931355,1.9449004,1.4190251,1.4474878,5,MAP,Normal,Sequential RNN
203,2.5502503,2.2126174,1.4601423,1.0590006,1.1041548,5,MAP,Normal,Sequential RNN
204,-0.20881009,2.4950967,1.6170074,1.1489012,1.2884765,5,MAP,Normal,Sequential RNN
205,-0.52446485,3.4635406,2.5339131,2.0383322,1.3641016,5,MAP,Normal,Sequential RNN
206,-0.5440748,3.4865828,2.4411492,1.8838325,1.5340314,5,MAP,Normal,Sequential RNN
207,-0.015138714,3.1340988,2.3014581,1.8575804,1.2217869,5,MAP,Normal,Sequential RNN
208,2.5645568,2.8055682,1.873735,1.376978,1.3673385,5,MAP,Normal,Sequential RNN
209,-0.46188533,2.531564,1.803954,1.4160678,1.0676684,5,MAP,Normal,Sequential RNN
210,1.166437,3.463291,2.4748592,1.9479302,1.4503887,5,MAP,Normal,Sequential RNN
211,-0.6579207,2.4886174,1.6721208,1.2368495,1.1980976,5,MAP,Normal,Sequential RNN
212,-1.085621,3.4289994,2.43141,1.899599,1.4638265,5,MAP,Normal,Sequential RNN
213,0.607326,2.6894825,1.8181831,1.3536966,1.2785132,5,MAP,Normal,Sequential RNN
214,-0.88153327,2.4304953,1.5817122,1.1292292,1.2454735,5,MAP,Normal,Sequential RNN
215,-0.6244422,2.5952137,1.7096357,1.2375374,1.2994651,5,MAP,Normal,Sequential RNN
216,0.52815616,2.7566617,1.8428328,1.355674,1.3409194,5,MAP,Normal,Sequential RNN
217,1.4465367,3.144477,2.279091,1.8177567,1.2698362,5,MAP,Normal,Sequential RNN
218,0.6722916,4.1772423,3.2023087,2.682575,1.4305823,5,MAP,Normal,Sequential RNN
219,-0.74752986,2.222049,1.4194523,0.9915909,1.1777015,5,MAP,Normal,Sequential RNN
220,-1.5950612,3.2084959,2.2983158,1.8131022,1.3355652,5,MAP,Normal,Sequential RNN
221,-2.2175252,2.600372,1.6666653,1.1689095,1.3700876,5,MAP,Normal,Sequential RNN
222,-3.5812576,3.734972,2.7644608,2.2470849,1.424093,5,MAP,Normal,Sequential RNN
223,3.2417164,3.7276073,2.5859692,1.9773661,1.6751984,5,MAP,Normal,Sequential RNN
224,1.8087875,3.1567078,2.242478,1.7551055,1.3415076,5,MAP,Normal,Sequential RNN
225,0.27523932,3.373903,2.4745119,1.9950498,1.3197341,5,MAP,Normal,Sequential RNN
226,-1.5577182,2.3659637,1.4803748,1.0082707,1.2994809,5,MAP,Normal,Sequential RNN
227,0.56743354,2.998419,2.1515248,1.7000486,1.2427021,5,MAP,Normal,Sequential RNN
228,-1.1531767,3.181025,2.2547956,1.7610259,1.3591158,5,MAP,Normal,Sequential RNN
229,2.6267335,2.5688338,1.7453824,1.3064036,1.2083027,5,MAP,Normal,Sequential RNN
230,1.5744745,2.8122613,1.9817804,1.5390542,1.2186176,5,MAP,Normal,Sequential RNN
231,1.4315565,2.7787237,1.9291242,1.4762058,1.2466717,5,MAP,Normal,Sequential RNN
232,0.52672535,3.2580225,2.3947434,1.9345328,1.2667443,5,MAP,Normal,Sequential RNN
233,0.15705653,3.086212,2.2926054,1.8695365,1.1645098,5,MAP,Normal,Sequential RNN
234,0.38477397,2.8918633,2.0152953,1.5480001,1.2862442,5,MAP,Normal,Sequential RNN
235,0.008550845,2.621269,1.8520415,1.4419692,1.1287366,5,MAP,Normal,Sequential RNN
236,-0.70815647,2.6283822,1.8404326,1.4203796,1.1562088,5,MAP,Normal,Sequential RNN
237,-0.5648815,3.4716709,2.5477006,2.0551355,1.3558004,5,MAP,Normal,Sequential RNN
238,0.9008134,3.328023,2.419574,1.9352835,1.3330247,5,MAP,Normal,Sequential RNN
239,-0.069992036,2.5799828,1.6939611,1.2216263,1.3001161,5,MAP,Normal,Sequential RNN
240,0.92733973,2.7232497,1.9249722,1.4994135,1.1713635,5,MAP,Normal,Sequential RNN
241,-1.4279659,2.7256064,1.8924984,1.4483715,1.2224725,5,MAP,Normal,Sequential RNN
242,-0.20756164,3.2649026,2.3309631,1.8330836,1.3704287,5,MAP,Normal,Sequential RNN
243,-0.22358489,1.88546,1.133749,0.7330146,1.1030335,5,MAP,Normal,Sequential RNN
244,-0.13965681,3.5486853,2.598496,2.0919538,1.3942734,5,MAP,Normal,Sequential RNN
245,0.06180979,2.554849,1.7362316,1.2998297,1.2012095,5,MAP,Normal,Sequential RNN
246,-0.49728084,2.5622659,1.7716359,1.350154,1.1601418,5,MAP,Normal,Sequential RNN
247,0.10340913,3.3185015,2.457347,1.9982687,1.2636268,5,MAP,Normal,Sequential RNN
248,-0.31168827,3.8866062,2.776055,2.1840243,1.6295824,5,MAP,Normal,Sequential RNN
249,0.3832027,2.770948,1.9497266,1.5119365,1.2050304,5,MAP,Normal,Sequential RNN
