Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
188,-0.92824507,2.636892,2.0231774,1.6960084,0.90054256,29,MAP,Normal,Sequential LSTM
189,0.30919513,1.3243961,0.90208197,0.6769479,0.61968845,29,MAP,Normal,Sequential LSTM
190,2.2003841,1.3843675,0.9256532,0.6811143,0.6731007,29,MAP,Normal,Sequential LSTM
191,0.904344,1.2593863,0.845501,0.6248602,0.60732037,29,MAP,Normal,Sequential LSTM
192,0.46619612,1.7301279,1.2357742,0.9722359,0.7253969,29,MAP,Normal,Sequential LSTM
193,0.59693617,1.5770254,1.136253,0.9012789,0.64677346,29,MAP,Normal,Sequential LSTM
194,-0.99019,1.7700038,1.2749342,1.0110145,0.7264473,29,MAP,Normal,Sequential LSTM
195,-0.48809466,1.4406404,0.97242874,0.72282684,0.68703693,29,MAP,Normal,Sequential LSTM
196,-0.771123,1.3593782,0.9494271,0.7308837,0.60154736,29,MAP,Normal,Sequential LSTM
197,0.90683365,1.8664554,1.2918655,0.9855537,0.8431325,29,MAP,Normal,Sequential LSTM
198,0.48647118,1.1703085,0.7381518,0.50777066,0.6341311,29,MAP,Normal,Sequential LSTM
199,-0.2907272,1.9343402,1.4008543,1.116455,0.78281796,29,MAP,Normal,Sequential LSTM
200,-0.33474064,1.1216131,0.7559583,0.56102914,0.5365486,29,MAP,Normal,Sequential LSTM
201,-1.3236903,1.111685,0.7169155,0.50646526,0.5792706,29,MAP,Normal,Sequential LSTM
202,-0.43131253,0.79892796,0.43937296,0.2476955,0.527598,29,MAP,Normal,Sequential LSTM
203,0.9906151,1.0489839,0.65261704,0.4413153,0.58161443,29,MAP,Normal,Sequential LSTM
204,0.71001095,0.90192837,0.5861148,0.4177558,0.46341333,29,MAP,Normal,Sequential LSTM
205,-0.24769679,1.7087125,1.256923,1.0160756,0.66293955,29,MAP,Normal,Sequential LSTM
206,-0.005292237,0.92154247,0.56043845,0.36793524,0.529871,29,MAP,Normal,Sequential LSTM
207,0.16058648,1.395865,0.9685191,0.74070257,0.62707186,29,MAP,Normal,Sequential LSTM
208,-0.018514492,1.3529878,1.013236,0.8321156,0.49853948,29,MAP,Normal,Sequential LSTM
209,0.32499415,1.8349354,1.3789828,1.1359161,0.6690483,29,MAP,Normal,Sequential LSTM
210,1.6460961,1.1753601,0.79647076,0.59448624,0.5559685,29,MAP,Normal,Sequential LSTM
211,-1.2166091,1.3301387,0.9208797,0.7027053,0.6005317,29,MAP,Normal,Sequential LSTM
212,1.2959523,1.5560232,1.1306709,0.90391713,0.62414664,29,MAP,Normal,Sequential LSTM
213,-0.7306104,1.0798107,0.7043591,0.50420725,0.5509241,29,MAP,Normal,Sequential LSTM
214,-0.6140467,1.215897,0.823875,0.61488956,0.57523876,29,MAP,Normal,Sequential LSTM
215,-0.60279256,1.4901206,1.0998489,0.8917964,0.5726707,29,MAP,Normal,Sequential LSTM
216,0.42425314,1.1462281,0.7808475,0.58606446,0.53614616,29,MAP,Normal,Sequential LSTM
217,0.3068211,1.6838229,1.2419571,1.0064,0.6483779,29,MAP,Normal,Sequential LSTM
218,0.66696507,1.6784159,1.2157416,0.9690918,0.6789114,29,MAP,Normal,Sequential LSTM
219,1.1553059,1.2126552,0.80058795,0.5809164,0.6046526,29,MAP,Normal,Sequential LSTM
220,0.31108594,1.3277786,0.912053,0.69043124,0.6100207,29,MAP,Normal,Sequential LSTM
221,0.700423,1.001044,0.60564494,0.39485916,0.58019435,29,MAP,Normal,Sequential LSTM
222,0.2168963,1.416279,0.9671713,0.7277537,0.6590043,29,MAP,Normal,Sequential LSTM
223,0.95661545,1.1133294,0.65731364,0.4142133,0.6691411,29,MAP,Normal,Sequential LSTM
224,0.3826539,1.0596967,0.6907452,0.4940585,0.54138607,29,MAP,Normal,Sequential LSTM
225,-0.6396158,1.3642224,0.98212266,0.77842677,0.5606793,29,MAP,Normal,Sequential LSTM
226,-0.3398895,1.2902278,0.9039054,0.69795835,0.56687546,29,MAP,Normal,Sequential LSTM
227,0.46910083,1.2856104,0.84182096,0.60523844,0.65120065,29,MAP,Normal,Sequential LSTM
228,0.2231711,1.5117525,1.1241401,0.9175055,0.5687682,29,MAP,Normal,Sequential LSTM
229,0.29683504,1.4204812,1.0145686,0.798178,0.5956215,29,MAP,Normal,Sequential LSTM
230,0.83753663,1.9080426,1.435061,1.1829163,0.69403595,29,MAP,Normal,Sequential LSTM
231,0.3267212,0.94045585,0.5782374,0.38514015,0.5315062,29,MAP,Normal,Sequential LSTM
232,0.24212971,1.5808938,1.1638463,0.9415198,0.61196035,29,MAP,Normal,Sequential LSTM
233,0.3272519,1.4306282,0.9762971,0.73409486,0.6666691,29,MAP,Normal,Sequential LSTM
234,-1.0796837,1.1839836,0.7727528,0.55352724,0.60342515,29,MAP,Normal,Sequential LSTM
235,-0.5105346,1.2526051,0.8414689,0.6222937,0.6032863,29,MAP,Normal,Sequential LSTM
236,-0.71661454,1.6806926,1.1858652,0.92207444,0.7260918,29,MAP,Normal,Sequential LSTM
237,0.451313,1.1606773,0.7245873,0.49210936,0.63990265,29,MAP,Normal,Sequential LSTM
238,0.73137915,1.2204975,0.81116146,0.5929459,0.60064495,29,MAP,Normal,Sequential LSTM
239,-0.57975525,1.2868761,0.9147455,0.7163641,0.54605097,29,MAP,Normal,Sequential LSTM
240,0.72969854,1.1926388,0.77432007,0.55131596,0.6138257,29,MAP,Normal,Sequential LSTM
241,1.0598973,1.3041694,0.8923052,0.6727419,0.6043547,29,MAP,Normal,Sequential LSTM
242,-0.16901544,1.262135,0.8134973,0.57433015,0.65831476,29,MAP,Normal,Sequential LSTM
243,-0.02861284,1.20569,0.8095436,0.5983594,0.5812909,29,MAP,Normal,Sequential LSTM
244,-0.52745086,1.2603341,0.820569,0.5861318,0.6452954,29,MAP,Normal,Sequential LSTM
245,1.3125827,1.3468242,0.953504,0.7438265,0.5771438,29,MAP,Normal,Sequential LSTM
246,-2.0361364,1.1239051,0.7695337,0.5806197,0.51999164,29,MAP,Normal,Sequential LSTM
247,0.3487984,2.2934287,1.7190981,1.4129246,0.84275174,29,MAP,Normal,Sequential LSTM
248,0.12733673,2.0080547,1.4490963,1.1511176,0.8201955,29,MAP,Normal,Sequential LSTM
249,-0.5823382,2.4168384,1.8119774,1.4895282,0.8875512,29,MAP,Normal,Sequential LSTM
