Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
200,0.3740961,-2.822008,-2.0068011,-1.5722173,1.1962049,15,MAP,Normal,Sequential RNN
201,1.0646374,-3.4047012,-2.665361,-2.2712214,1.0848812,15,MAP,Normal,Sequential RNN
202,-0.076399885,-2.579179,-1.9185987,-1.5664457,0.96931165,15,MAP,Normal,Sequential RNN
203,0.78546804,-2.1731634,-1.6190599,-1.3236693,0.81307155,15,MAP,Normal,Sequential RNN
204,-0.38163987,-2.0950062,-1.6345314,-1.3890541,0.675684,15,MAP,Normal,Sequential RNN
205,0.7552154,-2.926417,-2.0961103,-1.653477,1.218362,15,MAP,Normal,Sequential RNN
206,0.734861,-2.3012564,-1.723002,-1.4147367,0.8485095,15,MAP,Normal,Sequential RNN
207,-1.1176456,-2.5028696,-1.8361421,-1.480712,0.978332,15,MAP,Normal,Sequential RNN
208,-0.11250166,-2.4683223,-1.601742,-1.1397713,1.2715884,15,MAP,Normal,Sequential RNN
209,0.03678999,-2.2091308,-1.5603052,-1.2144188,0.9520631,15,MAP,Normal,Sequential RNN
210,1.5171015,-3.074789,-2.4329808,-2.090835,0.94176644,15,MAP,Normal,Sequential RNN
211,-0.3237069,-1.7825419,-1.3058528,-1.0517316,0.69947636,15,MAP,Normal,Sequential RNN
212,1.0739379,-2.563466,-1.793427,-1.382922,1.1299274,15,MAP,Normal,Sequential RNN
213,-0.9188974,-2.5867722,-1.9818721,-1.6594021,0.8876085,15,MAP,Normal,Sequential RNN
214,-1.4986773,-2.153457,-1.5822326,-1.277715,0.83819395,15,MAP,Normal,Sequential RNN
215,0.27611914,-2.5123785,-1.8755195,-1.5360123,0.9345039,15,MAP,Normal,Sequential RNN
216,0.05341403,-2.2526925,-1.6019112,-1.2549822,0.9549328,15,MAP,Normal,Sequential RNN
217,-0.18964696,-1.5487832,-1.019852,-0.73788077,0.77613443,15,MAP,Normal,Sequential RNN
218,-0.08081275,-2.1374288,-1.5013483,-1.162256,0.9333617,15,MAP,Normal,Sequential RNN
219,0.8212969,-2.066593,-1.5287205,-1.2419827,0.78925455,15,MAP,Normal,Sequential RNN
220,0.5048236,-1.9783947,-1.4337415,-1.1433887,0.7992046,15,MAP,Normal,Sequential RNN
221,0.29802415,-2.6602447,-2.0582597,-1.7373435,0.8833311,15,MAP,Normal,Sequential RNN
222,0.132613,-2.4137363,-1.7712939,-1.4288101,0.9426969,15,MAP,Normal,Sequential RNN
223,0.9302232,-3.4993558,-2.7202587,-2.304925,1.1432189,15,MAP,Normal,Sequential RNN
224,-0.45075437,-1.7885813,-1.3437634,-1.1066326,0.65270966,15,MAP,Normal,Sequential RNN
225,-1.6476581,-1.9756702,-1.4715551,-1.2028131,0.7397202,15,MAP,Normal,Sequential RNN
226,-0.8549458,-2.3127367,-1.6533144,-1.3017787,0.9676125,15,MAP,Normal,Sequential RNN
227,0.104833044,-2.836622,-2.1011522,-1.7090759,1.0792018,15,MAP,Normal,Sequential RNN
228,-1.1726073,-3.099955,-2.1667004,-1.6691856,1.3694243,15,MAP,Normal,Sequential RNN
229,-0.3300378,-3.1010265,-2.2342968,-1.7722464,1.2718079,15,MAP,Normal,Sequential RNN
230,1.8346041,-1.8346691,-1.1628544,-0.8047126,0.9857965,15,MAP,Normal,Sequential RNN
231,-0.7909068,-2.4142554,-1.857615,-1.5608721,0.8167941,15,MAP,Normal,Sequential RNN
232,-0.10624462,-2.7728615,-1.9954228,-1.5809731,1.1407853,15,MAP,Normal,Sequential RNN
233,0.39721662,-2.9437766,-2.1879168,-1.7849705,1.1091214,15,MAP,Normal,Sequential RNN
234,-0.012150498,-2.7875774,-2.1440785,-1.8010317,0.94424695,15,MAP,Normal,Sequential RNN
235,-0.925975,-2.153298,-1.5689852,-1.2574904,0.8573991,15,MAP,Normal,Sequential RNN
236,-1.0449818,-2.0871842,-1.4487665,-1.1084284,0.93679094,15,MAP,Normal,Sequential RNN
237,1.2797073,-2.7401168,-2.0391788,-1.6655114,1.0285311,15,MAP,Normal,Sequential RNN
238,1.17005,-2.6365237,-1.999669,-1.660164,0.9344978,15,MAP,Normal,Sequential RNN
239,-1.5911806,-1.8615922,-1.1868519,-0.8271503,0.99008954,15,MAP,Normal,Sequential RNN
240,0.012017712,-1.848518,-1.3576149,-1.0959163,0.72033346,15,MAP,Normal,Sequential RNN
241,0.30502194,-2.0337667,-1.4618986,-1.1570377,0.8391386,15,MAP,Normal,Sequential RNN
242,-1.1346887,-3.0858126,-2.376883,-1.9989555,1.0402573,15,MAP,Normal,Sequential RNN
243,1.9815898,-2.3754916,-1.6553833,-1.2714963,1.0566609,15,MAP,Normal,Sequential RNN
244,-0.958406,-2.3904433,-1.7685966,-1.4370924,0.9124755,15,MAP,Normal,Sequential RNN
245,2.518665,-2.9146965,-2.0075145,-1.523899,1.3311661,15,MAP,Normal,Sequential RNN
246,-1.1189425,-3.2873483,-2.4940474,-2.0711417,1.1640608,15,MAP,Normal,Sequential RNN
247,-0.59240496,-2.2454014,-1.2398237,-0.70375395,1.4755485,15,MAP,Normal,Sequential RNN
248,2.3816748,-4.671656,-3.3343353,-2.6214144,1.9623364,15,MAP,Normal,Sequential RNN
249,-0.08193845,-3.0472343,-2.1211731,-1.6274933,1.3588687,15,MAP,Normal,Sequential RNN
