Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
182,4.559324,5.591825,4.6551685,4.1558943,1.3754127,5,Sequential RNN
183,3.459017,5.7656555,4.332396,3.568413,2.1046388,5,Sequential RNN
184,-3.2580323,6.407811,5.1449957,4.471866,1.8543539,5,Sequential RNN
185,0.90639323,3.6771405,1.7895328,0.7833636,2.7718165,5,Sequential RNN
186,0.66898566,4.1134157,2.9183927,2.2813978,1.754806,5,Sequential RNN
187,2.2061832,5.519431,3.7918942,2.8710523,2.536762,5,Sequential RNN
188,-3.8382764,11.546879,9.786021,8.847418,2.5856922,5,Sequential RNN
189,-2.5056782,2.353882,1.5761554,1.1615962,1.142037,5,Sequential RNN
190,8.854974,6.4087286,4.062179,2.8113756,3.4457386,5,Sequential RNN
191,-5.5534153,3.1420755,2.2884834,1.8334845,1.2534393,5,Sequential RNN
192,2.3903184,6.1908402,4.515761,3.622877,2.4597347,5,Sequential RNN
193,-0.9948727,9.947292,7.846357,6.7264733,3.085074,5,Sequential RNN
194,-3.6583865,7.0343237,4.9109306,3.7790735,3.1180563,5,Sequential RNN
195,2.9768348,8.586254,6.2831116,5.0554447,3.3820007,5,Sequential RNN
196,-5.629712,6.2393327,4.6013517,3.7282438,2.4052563,5,Sequential RNN
197,-0.15225762,3.8019133,2.7393744,2.1729996,1.560262,5,Sequential RNN
198,0.5242429,2.5855887,1.5254086,0.9602901,1.5568001,5,Sequential RNN
199,-3.493067,4.9725084,3.5104394,2.7310984,2.146944,5,Sequential RNN
200,-0.25098974,3.2934008,2.365925,1.8715435,1.361932,5,Sequential RNN
201,2.1154757,6.725036,5.2839446,4.5157857,2.1161418,5,Sequential RNN
202,2.950906,10.524122,8.42085,7.2997227,3.0885055,5,Sequential RNN
203,2.3510594,5.7351904,4.412274,3.707106,1.9426079,5,Sequential RNN
204,1.2061561,5.3907623,3.9050333,3.1130817,2.1816857,5,Sequential RNN
205,-2.935268,7.1991706,5.431107,4.48866,2.596274,5,Sequential RNN
206,-1.7525162,4.5819683,3.043614,2.2236087,2.258965,5,Sequential RNN
207,-1.5549268,6.716477,4.733074,3.6758432,2.9124844,5,Sequential RNN
208,3.3651948,4.325303,2.9623384,2.2358239,2.0014176,5,Sequential RNN
209,-0.20794213,3.9166546,2.9459095,2.428463,1.4254711,5,Sequential RNN
210,-1.3050027,10.466845,7.6779437,6.1913457,4.095308,5,Sequential RNN
211,1.0122429,6.4755974,4.8759704,4.0233073,2.3489373,5,Sequential RNN
212,-3.229602,6.845512,4.8852334,3.840328,2.878528,5,Sequential RNN
213,0.19169295,4.429192,2.8533044,2.0132926,2.3140795,5,Sequential RNN
214,-2.8318446,6.008641,4.355483,3.4742837,2.4275455,5,Sequential RNN
215,-2.2590592,5.7830772,4.1947484,3.3481073,2.332347,5,Sequential RNN
216,3.3671966,5.6177673,4.2367363,3.5005937,2.027944,5,Sequential RNN
217,5.1169896,5.108148,3.4294698,2.5346692,2.4650173,5,Sequential RNN
218,0.7142911,5.4391913,3.8717074,3.0361743,2.3017402,5,Sequential RNN
219,-1.0832148,6.4003606,4.9538507,4.1828046,2.1240969,5,Sequential RNN
220,-0.931002,5.075986,3.5803077,2.783052,2.1962965,5,Sequential RNN
221,-1.2110751,3.016693,1.9540695,1.3876485,1.5603884,5,Sequential RNN
222,-2.0230129,6.0827436,4.66608,3.9109406,2.0802703,5,Sequential RNN
223,1.5079503,3.574277,2.563287,2.0243893,1.4845669,5,Sequential RNN
224,6.6578484,8.498663,6.9768567,6.165672,2.2346647,5,Sequential RNN
225,0.35760248,2.6241758,1.9281255,1.5571033,1.0221006,5,Sequential RNN
226,-8.664798,8.806862,6.6933317,5.5667357,3.1035683,5,Sequential RNN
227,2.62685,4.305839,3.016458,2.3291657,1.8933662,5,Sequential RNN
228,-0.6135629,5.9502344,4.2716618,3.376914,2.4648685,5,Sequential RNN
229,3.1046631,4.606587,2.7528887,1.7647951,2.722023,5,Sequential RNN
230,0.43835914,4.7434163,3.5729308,2.9490159,1.7187747,5,Sequential RNN
231,-1.974435,6.973207,5.3547297,4.4920154,2.3766215,5,Sequential RNN
232,5.224481,6.1729717,4.47325,3.5672312,2.4959202,5,Sequential RNN
233,1.7270093,6.3431945,4.3973184,3.360088,2.857383,5,Sequential RNN
